response,rt,participant_id,ab_nominal
1,2.8222,714,0.05
0,2.352,714,0.05
1,1.5701,714,0.05
1,2.7888,714,0.05
0,2.2944,714,0.05
0,5.7811,714,10.0
1,2.4904,714,10.0
0,2.4037,714,10.0
0,2.39,714,10.0
0,1.5377,714,10.0
0,4.8195,714,10.0
0,1.9499,714,10.0
1,3.1787,714,10.0
0,2.1569,714,10.0
1,5.5713,714,10.0
1,3.1941,714,10.0
1,5.4973,714,10.0
0,3.2065,714,10.0
0,3.1855,714,10.0
1,2.6276,714,10.0
0,2.4371,714,0.05
1,1.764,714,0.05
1,3.0487,714,0.05
1,6.7823,714,0.05
1,3.3868,714,0.05
1,3.3168,714,0.05
1,2.5936,714,0.05
1,4.1487,714,0.05
1,2.0804,714,0.05
0,4.1112,714,0.05
1,3.6514,714,0.05
1,2.1133,714,0.05
1,1.943,714,0.05
1,1.7466,714,0.05
0,5.0473,714,0.05
1,1.6554,715,0.05
1,1.2282,715,0.05
0,1.9062,715,0.05
0,2.6185,715,0.05
1,1.759,715,0.05
1,0.9973,715,0.05
1,1.2641,715,0.05
1,2.0619,715,0.05
1,2.7761,715,0.05
1,1.5777,715,0.05
1,1.536,715,0.05
1,1.1154,715,0.05
1,0.9099,715,0.05
1,1.0237,715,0.05
1,1.1146,715,0.05
0,2.0737,715,0.05
1,1.9443,715,10.0
1,1.4928,715,10.0
1,1.8304,715,10.0
0,0.8973,715,10.0
1,1.0861,715,10.0
1,1.3049,715,10.0
0,2.5578,715,10.0
1,1.567,715,10.0
1,1.1793,715,10.0
1,1.9065,715,10.0
1,1.1106,715,10.0
1,1.1852,715,10.0
0,1.2231,715,10.0
1,0.8203,715,10.0
1,1.022,715,10.0
1,2.073,715,10.0
1,1.4246,715,0.05
0,2.5114,715,0.05
1,2.5216,715,0.05
1,2.674,715,0.05
1,1.2426,715,0.05
1,0.9899,715,0.05
1,2.3257,715,0.05
1,1.7481,715,0.05
1,2.0902,715,10.0
1,2.1066,715,10.0
1,1.3223,715,10.0
1,1.3403,715,10.0
1,1.495,715,10.0
